Date,A. sp.,A. tamarense,D. acuta,D. acuminata,D. norvegica,Pn. sp.,P. reticulatum,A. spinosum,sst,par,mld,sss,Region
2018-09-17,0,0,0,0,0,960,0,0,15.0569551174457,14.8563213825226,21.2184532361153,31.3378167274671,Bømlo
2018-09-24,0,0,0,0,0,840,0,0,14.2386412009215,13.4098422467709,23.992847051376,31.8222312438182,Bømlo
2018-10-01,0,0,0,0,0,1000,0,0,12.9102230316553,11.2209113796552,18.2562312346238,32.2003359672351,Bømlo
2018-10-08,80,0,0,0,0,3200,0,0,12.1517111949432,10.9352825760841,25.2391719329051,32.6252565628443,Bømlo
2018-10-15,0,0,0,0,0,1480,0,0,12.4512195098094,8.52781979242961,33.1847371321458,32.5875866229718,Bømlo
2018-10-22,0,0,0,0,0,0,0,0,12.2750490873288,8.20515515605609,41.3455229539138,32.7278940249712,Bømlo
2018-10-29,0,0,0,0,0,0,0,0,11.2028315617488,8.13426211916606,22.3904292522333,32.7698791699532,Bømlo
2019-03-04,0,0,0,0,0,0,0,0,5.59471773489928,8.7544115225474,62.5858707917042,33.6078679989546,Bømlo
2019-03-11,0,0,0,0,0,0,0,0,5.33551040062538,10.7886983593305,33.5858303950383,33.4188792888935,Bømlo
2019-03-18,0,0,0,0,0,0,0,0,5.56566321544158,14.6982029398282,30.3516475970928,33.4873829377003,Bømlo
2019-03-25,0,0,0,0,0,0,0,0,5.56107016098805,13.9310982465744,41.5411791679187,33.4692686032026,Bømlo
2019-04-01,0,0,0,0,0,0,0,0,5.56820182311229,16.4312430302302,31.6057980366242,33.3329624273838,Bømlo
2019-04-08,0,0,0,0,0,0,0,0,6.80423182707566,27.2359737157822,5.61298014567449,33.1516056549855,Bømlo
2019-04-23,0,0,0,0,0,0,0,0,7.63220813946846,36.8496425827344,9.10542889130421,33.0185396243364,Bømlo
2019-04-29,0,0,0,0,0,0,0,0,9.04321007850843,26.8071839769681,4.48991836645664,32.6164631965833,Bømlo
2019-05-06,0,0,0,0,0,0,0,0,6.91201730874869,35.3178464174271,31.6488425425994,33.1038769453,Bømlo
2019-05-12,0,0,0,0,0,10000,0,0,7.18336908633892,40.8713162740072,21.8152024684808,33.3638312510955,Bømlo
2019-05-20,0,0,0,0,0,90000,0,0,10.1208911553407,37.6254725615183,2.97554564476013,33.2093755281889,Bømlo
2019-05-26,0,0,0,0,0,20000,0,0,9.74646895971054,33.51190589269,6.40929746627808,33.331792195638,Bømlo
2019-06-03,0,0,0,40,0,10,0,0,9.85689732967279,35.1393568992615,11.2263330557407,33.3675264211801,Bømlo
2019-06-11,0,0,0,40,0,0,0,0,11.7029166832948,32.1380467017492,5.15123344079042,33.242176936223,Bømlo
2019-06-16,0,0,0,40,0,0,0,0,12.6774665392362,41.4751523534457,6.40929746627808,32.7811340918908,Bømlo
2019-06-24,0,0,0,0,0,0,0,0,13.9391941168369,37.0921090245247,3.06163400870103,31.200157899123,Bømlo
2019-07-01,0,0,0,0,0,0,0,0,13.5948058397342,37.7031340996424,10.0582701365153,31.5588290385711,Bømlo
2019-07-08,0,0,0,0,0,0,0,0,12.658894612239,43.4636272589366,9.50847883713551,32.3722671117538,Bømlo
2019-07-15,0,0,0,0,0,60,0,0,10.5903615462474,48.1235554059347,8.78064077328413,33.5198954068697,Bømlo
2019-07-22,0,0,0,0,0,50000,0,0,13.9257151285807,44.3244874477387,7.99410603596614,32.5953133411897,Bømlo
2019-07-29,0,0,0,80,0,0,0,0,16.673007720556,35.9506025155385,5.02014431586632,32.1117775745881,Bømlo
2019-08-05,0,0,0,0,0,0,0,0,17.9535795847575,36.7081420262655,2.97554564476013,31.6196155548096,Bømlo
2019-08-12,0,0,0,40,0,0,0,0,17.2843461158948,32.2403548558553,8.58107219598232,31.772166227683,Bømlo
2019-08-21,0,0,0,0,0,0,0,0,16.1366268060146,27.6432654341062,12.7544016471276,32.1928591605945,Bømlo
2019-08-26,0,0,0,0,0,0,0,0,16.5409071995662,31.1800274928411,13.3589768287463,31.6376797113663,Bømlo
2019-09-02,0,0,0,40,40,0,0,0,16.7099389785375,25.2757791598638,31.989282705845,31.3335960583809,Bømlo
2019-09-09,0,0,0,0,0,0,0,0,15.9640839161017,20.5891392151515,12.233958415496,31.5160612937732,Bømlo
2019-09-16,0,0,0,40,0,0,0,0,14.7392433362129,18.3614666223526,21.7056356087709,31.8416372934977,Bømlo
2019-09-23,0,0,0,0,0,0,0,0,13.985080181024,15.5687819361687,11.9854758580526,31.9826543270013,Bømlo
2019-09-30,0,0,0,0,0,70000,0,0,13.8749927129501,16.5985993623734,36.195873651749,32.1631949498103,Bømlo
2019-10-07,0,0,0,0,0,170000,0,0,12.8797936317248,14.8195407867432,40.4083338028345,32.6128390385554,Bømlo
2019-10-14,0,0,0,0,0,20000,0,0,12.9710679421058,8.51905152599017,43.8851305643717,32.5309241857284,Bømlo
2019-10-21,0,0,0,40,0,40000,0,0,12.8486851178683,6.35453174312909,48.8215152055789,32.3487432430952,Bømlo
2019-10-28,0,0,0,0,0,0,0,0,12.4049621484219,5.93304844697316,49.1658694927509,32.3068014291617,Bømlo
2006-04-23,0,0,0,200,260,0,0,0,6.68471172451973,37.5415665229162,4.47304308414459,29.2016620635986,Risør
2006-05-02,0,0,0,40,40,0,0,0,7.79022273421288,32.6499279075199,2.97554564476013,29.730651140213,Risør
2006-05-08,0,0,0,0,160,0,0,0,9.58522081375122,39.4272597842746,2.97554564476013,29.5738607645035,Risør
2006-05-15,0,0,0,0,120,0,0,0,11.7173132300377,47.6020028856066,3.53353041410446,28.5582910776138,Risør
2006-05-22,0,0,0,0,0,0,0,0,11.4946784377098,36.3480226198832,6.40929746627808,25.4994820356369,Risør
2006-05-29,0,0,0,40,0,0,320,0,12.2482889890671,41.7274350802104,2.97554564476013,27.6324335336685,Risør
2006-06-06,0,0,40,80,80,0,0,0,12.9834236502647,48.4341303083632,2.97554564476013,27.9030666351318,Risør
2006-06-12,0,0,0,0,0,0,0,0,14.3877361416817,52.0154893610213,2.97554564476013,28.4037922620773,Risør
2006-06-19,0,0,0,80,80,0,80,0,15.7137748599052,51.7776434262594,2.97554564476013,28.3534933328629,Risør
2006-06-26,0,0,0,80,120,0,0,0,16.4663450717926,38.215970410241,6.40929746627808,29.2345186471939,Risør
2006-07-02,0,0,0,0,0,0,0,0,19.0404107570648,50.663553735945,2.97554564476013,29.1472446918488,Risør
2006-07-10,0,0,0,80,240,0,0,0,17.8545498847961,46.6504537688361,6.40929746627808,29.3156743049622,Risør
2006-07-17,0,0,200,0,120,0,0,0,18.8110795021057,52.2896311865913,5.85131290555,26.9533092975616,Risør
2006-07-24,0,0,0,0,0,0,0,0,21.8237402439117,49.0660937203301,2.97554564476013,28.2446249723434,Risør
2006-08-01,0,0,80,80,0,0,0,0,21.1325324773788,46.818946896659,2.97554564476013,27.7427421808243,Risør
